,date,id,importance,frequency,happiness,week_start,event_text
0,2013-01-22,76,-45,158559848.0,5.938,2013-01-21,"Shooting at
Lone Star College"
1,2013-02-14,77,100,140636200.0,6.123,2013-02-11,"Valentine's
Day"
2,2013-04-15,78,100,163478545.0,5.891,2013-04-15,"Bombing at
Boston Marathon"
3,2013-04-19,79,-35,137490114.0,5.932,2013-04-15,"Arrest of
Boston Marathon
Bombing Suspect"
4,2013-05-12,80,-10,143649541.0,6.077,2013-05-06,"Mother's
Day"
5,2013-05-22,81,-50,147116785.0,5.946,2013-05-20,"Murder of
Lee Rigby"
6,2013-06-16,82,-16,144368521.0,6.058,2013-06-10,"Father's
Day"
7,2013-07-04,83,-18,134659155.0,6.04,2013-07-01,"Independence Day
 United States"
8,2013-07-13,84,100,146130305.0,5.923,2013-07-08,"Not Guilty Verdict
 for George Zimmerman"
9,2013-07-14,85,-30,152417419.0,5.931,2013-07-08,"Death of
Cory Monteith"
10,2013-09-13,86,-60,130247962.0,6.043,2013-09-09,"Birthday for
Niall Horan"
11,2013-11-28,87,10,135054502.0,6.156,2013-11-25,"Thanksgiving
 United States"
12,2013-12-01,88,19,154817054.0,5.96,2013-11-25,"Death of
Paul Walker"
13,2013-12-24,89,-30,142703405.0,6.205,2013-12-23,"Christmas
Eve"
14,2013-12-25,90,30,132373544.0,6.282,2013-12-23,"Christmas
Day"
15,2013-12-31,91,-30,150556230.0,6.125,2013-12-30,"New Year's
 Eve"
16,2014-01-01,92,-30,144687610.0,6.081,2013-12-30,"New Year's
Day"
17,2014-01-23,93,-30,147631222.0,5.945,2014-01-20,"Arrest of
Justin Bieber"
18,2014-02-14,94,-30,134150782.0,6.18,2014-02-10,"Valentine's
Day"
19,2014-04-20,95,-30,136728794.0,6.087,2014-04-14,Easter
20,2014-05-11,96,-30,141641671.0,6.145,2014-05-05,"Mother's
Day"
21,2014-06-15,97,-30,142642735.0,6.082,2014-06-09,"Father's
Day"
22,2014-07-04,98,100,134054925.0,6.106,2014-06-30,"Independence Day
 United States"
23,2014-07-08,99,-30,163955237.0,6.013,2014-07-07,"Germany beats
 Brazil 7-1 in
World Cup semifinal"
24,2014-07-17,100,-30,145492009.0,6.027,2014-07-14,"Crash of
Malaysia Airlines Flight 17"
25,2014-08-12,102,-50,143128148.0,6.005,2014-08-11,"Crash of
Malaysia Airlines Flight 17"
26,2014-08-13,103,-20,141797563.0,6.023,2014-08-11,"Protests in
Ferguson
Missouri"
27,2014-08-15,105,-70,137705575.0,6.052,2014-08-11,"Protests in
Ferguson
Missouri"
28,2014-08-16,106,-70,127893713.0,6.056,2014-08-11,"Protests in
Ferguson
Missouri"
29,2014-08-17,107,-70,136848955.0,6.035,2014-08-11,"Protests in
Ferguson
Missouri"
30,2014-08-18,108,-70,144186413.0,6.015,2014-08-18,"Protests in
Ferguson
Missouri"
31,2014-09-11,109,-30,130410566.0,6.021,2014-09-08,"13th Anniversary
of 9/11 Attacks"
32,2014-10-31,110,-20,109258875.0,6.098,2014-10-27,Halloween
33,2014-11-24,111,0,143096996.0,5.966,2014-11-24,"Protests in
Ferguson
Missouri"
34,2014-11-25,112,-70,133086823.0,5.987,2014-11-24,"Protests in
Ferguson
Missouri"
35,2014-12-24,114,-30,124850519.0,6.225,2014-12-22,"Christmas
Eve"
36,2014-12-25,115,30,115258226.0,6.326,2014-12-22,"Christmas
Day"
37,2014-12-31,116,-30,131867033.0,6.172,2014-12-29,"New Year's
 Eve"
38,2015-01-01,117,-30,129070698.0,6.146,2014-12-29,"New Year's
Day"
39,2015-01-04,118,-30,139112977.0,6.034,2014-12-29,"Death of
Stuart Scott"
40,2015-01-07,119,0,132986901.0,6.009,2015-01-05,"Terrorist attack
on Charlie Hebdo
in Paris"
41,2015-02-14,120,-30,112999609.0,6.184,2015-02-09,"Valentine's
Day"
42,2015-03-25,121,-30,146440252.0,5.995,2015-03-23,"Zayn Malik
leaves
One Direction"
43,2015-04-05,122,-30,133179088.0,6.128,2015-03-30,Easter
44,2015-04-28,123,30,124394305.0,6.015,2015-04-27,"Baltimore riots
protesting death of
Freddie Gray"
154,2013-01-01,75,-30,156527342.0,6.03,2012-12-31,"New Year's
Day"
155,2014-08-11,101,100,152313856.0,5.993,2014-08-11,"Death of
Robin Williams"
156,2014-08-14,104,-70,148900554.0,6.023,2014-08-11,"Death of
Robin Williams"
157,2014-11-27,113,10,120999863.0,6.18,2014-11-24,"Thanksgiving
 United States"
